id,title,valid_n,rows,columns,chi_square,degrees_of_freedom,p_value,alpha,significant,cramers_v,effect_size_label,fisher_exact_p_value,fisher_exact_odds_ratio,expected_lt5_cells,expected_lt5_percent,warning
formacao_conhecimento_seguranca,Formação × conhecimento de segurança,127,2,2,0.2891,1,0.590777,0.05,False,0.0477,Muito fraco,0.746607,1.4578,1,25.0,Há 1 células com frequência esperada inferior a 5 (25.0% das células). Interpretar o Qui-quadrado com cautela.
formacao_uso_epi,Formação × uso de EPI,126,2,2,0.2066,1,0.64943,0.05,False,0.0405,Muito fraco,0.70848,1.1877,0,0.0,
formacao_percepcao_saude,Formação × perceção dos impactos na saúde,127,2,2,1.4777,1,0.22413,0.05,False,0.1079,Fraco,0.340072,2.9634,2,50.0,Há 2 células com frequência esperada inferior a 5 (50.0% das células). Interpretar o Qui-quadrado com cautela.
formacao_percepcao_ambiente,Formação × perceção dos impactos ambientais,127,2,3,7.4867,2,0.023675,0.05,True,0.2428,Fraco,,,2,33.33,Há 2 células com frequência esperada inferior a 5 (33.33% das células). Interpretar o Qui-quadrado com cautela.
escolaridade_conhecimento_seguranca,Escolaridade × conhecimento de segurança,127,4,2,18.8534,3,0.000293,0.05,True,0.3853,Moderado,,,4,50.0,Há 4 células com frequência esperada inferior a 5 (50.0% das células). Interpretar o Qui-quadrado com cautela.
escolaridade_uso_epi,Escolaridade × uso de EPI,126,4,2,0.4727,3,0.92485,0.05,False,0.0612,Muito fraco,,,2,25.0,Há 2 células com frequência esperada inferior a 5 (25.0% das células). Interpretar o Qui-quadrado com cautela.
escolaridade_percepcao_saude,Escolaridade × perceção dos impactos na saúde,127,4,2,1.0277,3,0.794551,0.05,False,0.09,Muito fraco,,,5,62.5,Há 5 células com frequência esperada inferior a 5 (62.5% das células). Interpretar o Qui-quadrado com cautela.
escolaridade_percepcao_ambiente,Escolaridade × perceção dos impactos ambientais,127,4,3,20.0823,6,0.002678,0.05,True,0.2812,Fraco,,,6,50.0,Há 6 células com frequência esperada inferior a 5 (50.0% das células). Interpretar o Qui-quadrado com cautela.
idade_percepcao_saude,Idade × perceção dos impactos na saúde,127,5,2,3.785,4,0.435882,0.05,False,0.1726,Fraco,,,6,60.0,Há 6 células com frequência esperada inferior a 5 (60.0% das células). Interpretar o Qui-quadrado com cautela.
idade_percepcao_ambiente,Idade × perceção dos impactos ambientais,127,5,3,18.9915,8,0.014905,0.05,True,0.2734,Fraco,,,10,66.67,Há 10 células com frequência esperada inferior a 5 (66.67% das células). Interpretar o Qui-quadrado com cautela.
experiencia_percepcao_saude,Experiência em horticultura × perceção dos impactos na saúde,127,4,2,8.4884,3,0.036927,0.05,True,0.2585,Fraco,,,4,50.0,Há 4 células com frequência esperada inferior a 5 (50.0% das células). Interpretar o Qui-quadrado com cautela.
experiencia_percepcao_ambiente,Experiência em horticultura × perceção dos impactos ambientais,127,4,3,3.2824,6,0.772658,0.05,False,0.1137,Fraco,,,5,41.67,Há 5 células com frequência esperada inferior a 5 (41.67% das células). Interpretar o Qui-quadrado com cautela.
